model,precision,recall,f1_score,roc_auc,pr_auc
Logistic Regression,0.06105834464043419,0.9183673469387755,0.11450381679389314,0.9719861495526743,0.7106562907377486
Random Forest,0.9487179487179487,0.7551020408163265,0.8409090909090908,0.9513522417971128,0.8570534806688479
XGBoost,0.717948717948718,0.8571428571428571,0.7813953488372092,0.9821114538950076,0.8668161031333482
