strategy,threshold,precision,recall,f1_score
Default (0.5),0.5,0.961038961038961,0.7551020408163265,0.8457142857142858
Max F1,0.20480450926413812,0.83,0.8469387755102041,0.8383838383838385
Recall >= 0.90,0.009965615295189962,0.10797546012269939,0.8979591836734694,0.1927710843373494
